,Value
1603,Samsung Galaxy S6 edge
1604,Samsung Galaxy S6 edge+
1605,Samsung Galaxy S6 Mini
1606,Samsung Galaxy S7
1607,Samsung Galaxy S7 Active
1608,Samsung Galaxy S7 edge
1609,Samsung Galaxy S8
1610,Samsung Galaxy S8+
1611,Samsung Galaxy S8 Active
1612,Samsung Galaxy S9
1613,Samsung Galaxy S9+
1614,Samsung Galaxy S Advance
1615,Samsung Galaxy S Duos
1616,Samsung Galaxy S Epic
1617,Samsung Galaxy S II
1618,Samsung Galaxy S III
1619,Samsung Galaxy S III Mini
1620,Samsung Galaxy S III Neo
1621,Samsung Galaxy S IV
1622,Samsung Galaxy Sol 3
1623,Samsung Galaxy S Plus
1624,Samsung Galaxy Star 2
1625,Samsung Galaxy Stardust
1626,Samsung Galaxy Stellar
1627,Samsung Galaxy S V
1628,Samsung Galaxy Trend
