,LaptopModel
662,Razer Blade Stealth
663,RCA Cambio
664,Revolve 810 G1
665,Samsung Ativ Book 6
666,Samsung ATIV Book 9 Plus
667,Samsung ChromeBook
668,Samsung Chromebook 2
669,Samsung Chromebook 3
670,Samsung Chromebook Plus
671,Samsung N130
672,Samsung N150
673,Samsung NC10
674,Samsung Notebook 7
675,Samsung Notebook 9
676,Samsung Notebook 9 Pro
677,Samsung Notebook Odyssey
678,Samsung R510
679,Samsung R519
680,Samsung R60
681,Samsung R60 Plus
682,Samsung R70
683,Samsung Series 3 NP305E5A-A03US
684,Samsung Series 5
685,Samsung Series 7
686,Samsung Series 9
687,Sony Vaio Duo 13
688,Sony Vaio Pro 13
689,Sony Vaio S Series
690,Sony Vaio Z Flip
691,T732
692,Thinkpad Edge E545
693,ThinkPad T460p
694,Thinkpad X140E
695,Thinkpad X1 Yoga (3Rd Gen)
696,Toshiba Chromebook
697,Toshiba Chromebook 2
698,Toshiba Equium
699,Toshiba Kirabook
700,Toshiba Libretto
701,Toshiba Portege
702,Toshiba Qosmio
703,Toshiba Satellite Click Mini
704,Toshiba Satellite Pro
705,Toshiba Tecra
706,Toughbook Cf-C1
707,Yoga 920
708,Zoostorm FizzBook Lite
